steps,Pump Status,Pressure,Flow,Likelihoods,time
33,2.0,2503.77,3.63887,0.005994137223114263,2017-10-11 10:55:13
34,2.0,2503.77,3.63887,0.005426720631030574,2017-10-11 10:55:14
35,2.0,2503.77,3.63887,0.0028506701121218834,2017-10-11 10:55:15
36,2.0,2503.77,3.63887,0.0025712766547966717,2017-10-11 10:55:16
37,2.0,2503.77,3.63887,0.0011908954857905748,2017-10-11 10:55:17
38,2.0,2502.36,3.62282,0.004870381851822211,2017-10-11 10:55:18
39,2.0,2502.36,3.62282,0.003144935992257616,2017-10-11 10:55:19
40,2.0,2502.36,3.62282,0.005509100388655926,2017-10-11 10:55:20
41,2.0,2502.36,3.62282,0.006969168366301109,2017-10-11 10:55:21
42,2.0,2502.36,3.62282,0.0037922230031385454,2017-10-11 10:55:22
43,2.0,2502.36,3.62282,0.0029368444796824306,2017-10-11 10:55:23
44,2.0,2506.65,3.60134,0.003992174465368877,2017-10-11 10:55:24
45,2.0,2506.65,3.60134,0.007684085118768973,2017-10-11 10:55:25
46,2.0,2506.65,3.60134,0.009756431770473613,2017-10-11 10:55:26
47,2.0,2506.65,3.60134,0.013376244835105012,2017-10-11 10:55:27
48,2.0,2506.65,3.60134,0.008634940924465467,2017-10-11 10:55:28
49,2.0,2508.95,3.58588,0.009492951193521797,2017-10-11 10:55:29
50,2.0,2508.95,3.58588,0.007179401997388098,2017-10-11 10:55:30
51,2.0,2508.95,3.58588,0.008355914687456565,2017-10-11 10:55:31
52,2.0,2508.95,3.58588,0.008913844754702267,2017-10-11 10:55:32
53,2.0,2508.95,3.58588,0.007923390358230436,2017-10-11 10:55:33
54,2.0,2508.95,3.58588,0.006921796945497228,2017-10-11 10:55:34
55,2.0,2507.71,3.60885,0.0068003082241849516,2017-10-11 10:55:35
56,2.0,2507.71,3.60885,0.0035273959516935963,2017-10-11 10:55:36
57,2.0,2507.71,3.60885,0.0033595762671403146,2017-10-11 10:55:37
58,2.0,2507.71,3.60885,0.0028746006360680296,2017-10-11 10:55:38
59,2.0,2507.71,3.60885,0.0048210519226646814,2017-10-11 10:55:39
60,2.0,2511.84,3.64485,0.005904290652390624,2017-10-11 10:55:40
61,2.0,2511.84,3.64485,0.007177627099192604,2017-10-11 10:55:41
62,2.0,2511.84,3.64485,0.010218456131776575,2017-10-11 10:55:42
63,2.0,2511.84,3.64485,0.011881046113866254,2017-10-11 10:55:43
64,2.0,2511.84,3.64485,0.008813226388033559,2017-10-11 10:55:44
65,2.0,2511.84,3.64485,0.008563638979715441,2017-10-11 10:55:45
66,2.0,2515.63,3.66538,0.008041574096695932,2017-10-11 10:55:46
67,2.0,2515.63,3.66538,0.008917333347707203,2017-10-11 10:55:47
68,2.0,2515.63,3.66538,0.008603543587421034,2017-10-11 10:55:48
69,2.0,2515.63,3.66538,0.007158837659674785,2017-10-11 10:55:49
70,2.0,2515.63,3.66538,0.010871435057560296,2017-10-11 10:55:50
71,2.0,2515.63,3.66538,0.006803796817189888,2017-10-11 10:55:51
72,2.0,2522.78,3.65926,0.009191402110445933,2017-10-11 10:55:52
73,2.0,2522.78,3.65926,0.004014268887733478,2017-10-11 10:55:53
74,2.0,2522.78,3.65926,0.0008498702187114772,2017-10-11 10:55:54
75,2.0,2522.78,3.65926,0.0,2017-10-11 10:55:55
76,2.0,2522.78,3.65926,0.00044409176918986596,2017-10-11 10:55:56
77,2.0,2522.78,3.65926,0.00013483105947150975,2017-10-11 10:55:57
78,2.0,2518.86,3.67326,0.001758801704962676,2017-10-11 10:55:58
79,2.0,2518.86,3.67326,0.011233697899599273,2017-10-11 10:55:59
80,2.0,2518.86,3.67326,0.006528320376571974,2017-10-11 10:56:00
81,2.0,2518.86,3.67326,0.008664440956542303,2017-10-11 10:56:01
82,2.0,2518.86,3.67326,0.007524895111648957,2017-10-11 10:56:02
83,2.0,2520.03,3.58915,0.008446495698812822,2017-10-11 10:56:03
84,2.0,2520.03,3.58915,0.006188396770441804,2017-10-11 10:56:04
85,2.0,2520.03,3.58915,0.004151670489419152,2017-10-11 10:56:05
86,2.0,2520.03,3.58915,0.00403079380196739,2017-10-11 10:56:06
87,2.0,2520.03,3.58915,0.005185824103531771,2017-10-11 10:56:07
88,2.0,2520.03,3.58915,0.002064390211517941,2017-10-11 10:56:08
89,2.0,2518.95,2.01739,0.002556037011669842,2017-10-11 10:56:09
90,2.0,2518.95,2.01739,0.002820068419096121,2017-10-11 10:56:10
91,2.0,2518.95,2.01739,0.004219973468252654,2017-10-11 10:56:11
92,2.0,2518.95,2.01739,0.005094508651542896,2017-10-11 10:56:12
93,2.0,2518.95,2.01739,0.008079275382503671,2017-10-11 10:56:13
94,2.0,2518.95,2.01739,0.010668851849729748,2017-10-11 10:56:14
95,2.0,2516.98,0.393766,0.012165947875936103,2017-10-11 10:56:15
96,2.0,2516.98,0.393766,0.009883367593144475,2017-10-11 10:56:16
97,2.0,2516.98,0.393766,0.009491298702098406,2017-10-11 10:56:17
98,2.0,2516.98,0.393766,0.00893208336374562,2017-10-11 10:56:18
99,2.0,2516.98,0.393766,0.002449053492851776,2017-10-11 10:56:19
100,1.0,2515.05,0.00106916,0.003164949499496465,2017-10-11 10:56:20
101,1.0,2515.05,0.00106916,0.9999417066436946,2017-10-11 10:56:21
102,1.0,2515.05,0.00106916,0.9999421878134792,2017-10-11 10:56:22
103,1.0,2515.05,0.00106916,0.9999416171397194,2017-10-11 10:56:23
104,1.0,2515.05,0.00106916,0.999942126729631,2017-10-11 10:56:24
105,1.0,2515.05,0.00106916,0.9999421601404639,2017-10-11 10:56:25
106,1.0,2514.11,0.000384003,0.9999418030808659,2017-10-11 10:56:26
107,1.0,2514.11,0.000384003,0.9999398385956191,2017-10-11 10:56:27
108,1.0,2514.11,0.000384003,0.9999402125399403,2017-10-11 10:56:28
109,1.0,2514.11,0.000384003,0.9999402081170393,2017-10-11 10:56:29
110,1.0,2514.11,0.000384003,0.9999402433508245,2017-10-11 10:56:30
111,1.0,2514.11,0.000384003,0.9999405061249327,2017-10-11 10:56:31
112,1.0,2515.47,0.000206158,0.9999398794775683,2017-10-11 10:56:32
113,1.0,2515.47,0.000206158,0.9999416430196668,2017-10-11 10:56:33
114,1.0,2515.47,0.000206158,0.9999414555245282,2017-10-11 10:56:34
115,1.0,2515.47,0.000206158,0.9999417465394566,2017-10-11 10:56:35
116,1.0,2515.47,0.000206158,0.9999417657252836,2017-10-11 10:56:36
117,1.0,2519.86,5.126e-05,0.9999420834569245,2017-10-11 10:56:37
118,1.0,2519.86,5.126e-05,0.9999425495350538,2017-10-11 10:56:38
119,1.0,2519.86,5.126e-05,0.9999428378603803,2017-10-11 10:56:39
120,1.0,2519.86,5.126e-05,0.9999421722436725,2017-10-11 10:56:40
